Code,Type,Column,Title,Link,Info
"Ac, AcP",Technik,Technik,Acryl,,
Aq,Technik,Technik,Aquarell,,
B,Technik,Technik,"Bleistift, Grafitstift",,
C,Technik,Technik,"Collage, Assemblage",,
Fa,Technik,Technik,Farbstift,,
Fs,Technik,Technik,Filzstift,,
G,Technik,Technik,Gouache,,
K,Technik,Technik,Kohle,,
Ks,Technik,Technik,Kugelschreiber,,
Opl,Technik,Technik,"Ölpastell, Wachsölkreiden",,
OP,Technik,Technik,Ölfarbe auf Pavatex,,
OL,Technik,Technik,Ölfarbe auf Leinwand,,
OPa,Technik,Technik,Ölfarbe auf Papier,,
T,Technik,Technik,Tusche,,
Dd,Drucktechnik,Technik,Digitaldruck,,
Hd,Drucktechnik,Technik,Hochdruck,,
Hs,Drucktechnik,Technik,Holzschnitt,,
Ls,Drucktechnik,Technik,Linolschnitt,,
Lg,Drucktechnik,Technik,Lithografie,,
Od,Drucktechnik,Technik,Offsetdruck,,
R,Drucktechnik,Technik,Radierung,,
S,Drucktechnik,Technik,Siebdruck,,
zT,mehrere Techniken,Technik,zwei Techniken,,
Mt,mehrere Techniken,Technik,Mischtechnik (3 Techniken und mehr),,
H1,Helligkeit,Helligkeit,hell,,
H2,Helligkeit,Helligkeit,eher hell,,
H3,Helligkeit,Helligkeit,mittlere Helligkeit,,
H4,Helligkeit,Helligkeit,eher dunkel,,
H5,Helligkeit,Helligkeit,dunkel,,
y,Farbigkeit nach Dominanz,Farbigkeit,gelb,,
g,Farbigkeit nach Dominanz,Farbigkeit,grün,,
c,Farbigkeit nach Dominanz,Farbigkeit,blau,,
v,Farbigkeit nach Dominanz,Farbigkeit,violett,,
m,Farbigkeit nach Dominanz,Farbigkeit,rot,,
b,Farbigkeit nach Dominanz,Farbigkeit,braun,,
cf,Farbigkeit nach Dominanz,Farbigkeit,vielfarbig,,
gr,Farbigkeit nach Dominanz,Farbigkeit,grau,,
bw,Farbigkeit nach Dominanz,Farbigkeit,schwarzweiss,,
klein,Format,Format,klein,,((grössere Zahl max. 30))
mittel,Format,Format,mittel,,((grössere Zahl 31 - 90))
gross,Format,Format,gross,,((grössere Zahl 91 und mehr))
breit,Ausrichtung,Ausrichtung,breit,,
hoch,Ausrichtung,Ausrichtung,hoch,,
quadratisch,Ausrichtung,Ausrichtung,quadratisch,,
Cb,Darstellungsformen,Darstellungsformen,Collagebuch,,
Fro,Darstellungsformen,Darstellungsformen,Frottage,,
Gi,Darstellungsformen,Darstellungsformen,"Gitterstruktur, Netzstruktur",,
RiK,Darstellungsformen,Darstellungsformen,Körper im Raum zu Raum im Körper,,
Lst,Darstellungsformen,Darstellungsformen,Linienstrukturen,,
Lwi,Darstellungsformen,Darstellungsformen,Linienwirbel,,
Mo,Darstellungsformen,Darstellungsformen,Mosaik,,
ovÖ,Darstellungsformen,Darstellungsformen,ovale Öffnung,,
Schl,Darstellungsformen,Darstellungsformen,Schleifbilder,,
Schü,Darstellungsformen,Darstellungsformen,Schüttbilder,,
sM,Darstellungsformen,Darstellungsformen,serielle Muster,,
Ul,Darstellungsformen,Darstellungsformen,Umrisslinie,,
Gs,Darstellungsarten,Gegenständlich/Ungegenständlich,Gegenständliches,,
U,Darstellungsarten,Gegenständlich/Ungegenständlich,Ungegenständliches,,
UnG,Darstellungsarten,Gegenständlich/Ungegenständlich,Ungegenständliches neben Gegenständlichem,,
UoG,Darstellungsarten,Gegenständlich/Ungegenständlich,Ungegenständliches oder Gegenständliches,,
wid,Bildsprache,Bildsprache,Widder-/Mars-Gestaltung,,
sti,Bildsprache,Bildsprache,Stier-/Venus-Gestaltung,,
zwi,Bildsprache,Bildsprache,Zwillinge-/Merkur-Gestaltung,,
kre,Bildsprache,Bildsprache,Krebs-/Mond-Gestaltung,,
löw,Bildsprache,Bildsprache,Löwe-/Sonne-Gestaltung,,
jun,Bildsprache,Bildsprache,Jungfrau-/Merkur-Gestaltung,,
waa,Bildsprache,Bildsprache,Waage-/Venus-Gestaltung,,
sko,Bildsprache,Bildsprache,Skorpion-/Pluto-Gestaltung,,
sch,Bildsprache,Bildsprache,Schütze-/Jupiter-Gestaltung,,
ste,Bildsprache,Bildsprache,Steinbock-/Saturn-Gestaltung,,
was,Bildsprache,Bildsprache,Wassermann-/Uranus-Gestaltung,,
fis,Bildsprache,Bildsprache,Fische-/Neptun-Gestaltung,,
