Code,Type,Column,Title,Link
A,Motive,Motiv,Akt (nach Modell oder Vorstellung),
AP,Motive,Motiv,Akt (Paraphrasen),
Ar,Motive,Motiv,"Architektur, Intérieurs",
At,Motive,Motiv,Ateliers,
Ba,Motive,Motiv,Badende,
bb,Motive,Motiv,Black Box,
BiB,Motive,Motiv,Bild im Bild,
Ca,Motive,Motiv,Capricci,
Ec,Motive,Motiv,Themenkreis Ecuador,
F,Motive,Motiv,"Früchte, Gemüse",
FigG,Motive,Motiv,Figurengruppen,
FigR,Motive,Motiv,Figuren im Raum (Innenraum),
Fk,Motive,Motiv,Farbkörper,
Gä,Motive,Motiv,Gärten,
Kt,Motive,Motiv,Körperteile,
Ken,Motive,Motiv,Kentauren,
KiA,Motive,Motiv,KünstlerInnen im Atelier,
L,Motive,Motiv,Landschaften,
lL,Motive,Motiv,"leere Leinwand , leeres Papier",
Ma,Motive,Motiv,Mauern,
mF,Motive,Motiv,menschliche Figuren,"A, AP, Ba, FigG, FigR, KiA, P, Sb, Z, ZM"
Mw,Motive,Motiv,Mischwesen,Ken
O,Motive,Motiv,Objekte,"Sta, Vo"
P,Motive,Motiv,Paare,
Pf,Motive,Motiv,Pflanzen,
Ri,Motive,Motiv,"Porträts, Köpfe",
Sb,Motive,Motiv,Selbstbildnisse,
Sch,Motive,Motiv,"Schrift, Schriftzeichen",
So,Motive,Motiv,Sockel,
St,Motive,Motiv,Stillleben,
Sta,Motive,Motiv,"Stäbe, Stelen, Stangen",
Ti,Motive,Motiv,Tische,
Tie,Motive,Motiv,Tiere,
Vo,Motive,Motiv,Vorhänge,
Z,Motive,Motiv,"ZeichnerInnen, MalerInnen",
ZM,Motive,Motiv,ZeichnerInnen/MalerInnen und Modell,
Par1,"Paraphrasen, Variationen",Paraphrasen,aussereuropäische Kunst ,
Par2,"Paraphrasen, Variationen",Paraphrasen, bis und mit griechisch-römischer Antike,
Par3a,"Paraphrasen, Variationen",Paraphrasen,Malerei Frühmittelalter bis 15. Jh.,
Par4,"Paraphrasen, Variationen",Paraphrasen,"Malerei, Zeichnung 16.–18. Jh.",ParT
Par5,"Paraphrasen, Variationen",Paraphrasen,"Malerei, Zeichnung 19. Jh.","ParJHF, ParPC"
Par7a,"Paraphrasen, Variationen",Paraphrasen,"Malerei, Zeichnung 20. Jh. ","ParPK, ParME, ParGOK, ParEH, ParFV, ParRM, ParPP"
Par3b ,"Paraphrasen, Variationen",Paraphrasen,Skulptur Mittelalter bis 18. Jh.,
Par6,"Paraphrasen, Variationen",Paraphrasen,Skulptur 19. Jh.,ParAR
Par7b,"Paraphrasen, Variationen",Paraphrasen,Plastik 20. Jh.,
Par8a,"Paraphrasen, Variationen",Paraphrasen,Fotografie,ParVB
Par8b ,"Paraphrasen, Variationen",Paraphrasen,"Film, Video",
Par9a ,"Paraphrasen, Variationen",Paraphrasen,Installationen,
Par9b ,"Paraphrasen, Variationen",Paraphrasen,"Performance, Theater",
ParAR,"Paraphrasen, Variationen: grössere Werkgruppen zu",Paraphrasen,Auguste Rodin,
ParEH,"Paraphrasen, Variationen: grössere Werkgruppen zu",Paraphrasen,Edward Hopper,
ParFV,"Paraphrasen, Variationen: grössere Werkgruppen zu",Paraphrasen,Félix Vallotton,
ParGOK,"Paraphrasen, Variationen: grössere Werkgruppen zu",Paraphrasen,Georgia O‘Keeffe,
ParJHF,"Paraphrasen, Variationen: grössere Werkgruppen zu",Paraphrasen,Johann Heinrich Füssli,
ParME,"Paraphrasen, Variationen: grössere Werkgruppen zu",Paraphrasen,Max Ernst,
ParPP,"Paraphrasen, Variationen: grössere Werkgruppen zu",Paraphrasen,Pablo Picasso,
ParPC,"Paraphrasen, Variationen: grössere Werkgruppen zu",Paraphrasen,Paul Cézanne,
ParPK,"Paraphrasen, Variationen: grössere Werkgruppen zu",Paraphrasen,Paul Klee,
ParRM,"Paraphrasen, Variationen: grössere Werkgruppen zu",Paraphrasen,René Magritte,
ParT,"Paraphrasen, Variationen: grössere Werkgruppen zu",Paraphrasen,Tizian,
ParVB,"Paraphrasen, Variationen: grössere Werkgruppen zu",Paraphrasen,Vanessa Beecroft,
Kr1,Projekt „Klee revisited“,Paraphrasen,Bewegung,
Kr2a,Projekt „Klee revisited“,Paraphrasen,Pflanzen,
Kr2b,Projekt „Klee revisited“,Paraphrasen,Tiere,
Kr3,Projekt „Klee revisited“,Paraphrasen,Schrift,
Kr4,Projekt „Klee revisited“,Paraphrasen,Landschaften,
Kr5a,Projekt „Klee revisited“,Paraphrasen,Menschen: Einzelne,
Kr5b,Projekt „Klee revisited“,Paraphrasen,Menschen: Paare,
Kr5c,Projekt „Klee revisited“,Paraphrasen,Menschen: Gruppen,
Kr5d,Projekt „Klee revisited“,Paraphrasen,Menschen: Akt,
Kr5e,Projekt „Klee revisited“,Paraphrasen,"Menschen: Köpfe, Körperteile",
Kr5f,Projekt „Klee revisited“,Paraphrasen,Menschen: ZeichnerInnen,
Kr6,Projekt „Klee revisited“,Paraphrasen,Gegenstände,
Kr7,Projekt „Klee revisited“,Paraphrasen,Zeichen,
Kr8,Projekt „Klee revisited“,Paraphrasen,"Emotionen, Zustände",
Kr9,Projekt „Klee revisited“,Paraphrasen,Mythologisches,
Kr10,Projekt „Klee revisited“,Paraphrasen,Gebautes,
Kr10b,Projekt „Klee revisited“,Paraphrasen,Ateliers,
Kr11,Projekt „Klee revisited“,Paraphrasen,Komplexes und Groteskes,
Kr12a,Projekt „Klee revisited“,Paraphrasen,Klänge,
Kr12b,Projekt „Klee revisited“,Paraphrasen,Zweiklang,
Kr12c,Projekt „Klee revisited“,Paraphrasen,Dreiklang,
Kr12d,Projekt „Klee revisited“,Paraphrasen,Vierklang,
Kr12e,Projekt „Klee revisited“,Paraphrasen,Fünfklang,
